Frame No,Count,Type1,Color1,Type2,Color2,Question1 Time,Question2 Time,Question3 Time,Question4 Time
357,0,,,,,0.055,0.121,,
358,0,,,,,0.055,0.125,,
359,0,,,,,0.055,0.123,,
360,0,,,,,0.055,0.117,,
361,0,,,,,0.055,0.122,,
362,0,,,,,0.055,0.12,,
363,0,,,,,0.055,0.121,,
364,0,,,,,0.055,0.123,,
365,0,,,,,0.055,0.124,,
366,0,,,,,0.055,0.119,,
367,0,,,,,0.055,0.125,,
368,0,,,,,0.055,0.122,,
369,0,,,,,0.055,0.121,,
370,0,,,,,0.055,0.126,,
371,0,,,,,0.055,0.118,,
372,0,,,,,0.055,0.121,,
373,0,,,,,0.055,0.124,,
374,0,,,,,0.055,0.124,,
375,0,,,,,0.055,0.12,,
376,0,,,,,0.055,0.117,,
377,0,,,,,0.055,0.116,,
378,0,,,,,0.055,0.121,,
379,0,,,,,0.055,0.122,,
380,0,,,,,0.055,0.12,,
381,0,,,,,0.055,0.12,,
382,0,,,,,0.055,0.123,,
383,0,,,,,0.055,0.117,,
384,0,,,,,0.055,0.123,,
385,0,,,,,0.055,0.124,,
386,0,,,,,0.055,0.118,,
387,0,,,,,0.055,0.118,,
388,0,,,,,0.055,0.124,,
389,0,,,,,0.055,0.121,,
390,0,,,,,0.055,0.125,,
391,0,,,,,0.055,0.123,,
392,0,,,,,0.055,0.121,,
393,0,,,,,0.055,0.122,,
394,0,,,,,0.055,0.121,,
395,0,,,,,0.055,0.121,,
396,0,,,,,0.055,0.124,,
397,0,,,,,0.055,0.116,,
398,0,,,,,0.055,0.122,,
399,0,,,,,0.055,0.12,,
400,0,,,,,0.055,0.123,,
401,0,,,,,0.055,0.12,,
402,0,,,,,0.055,0.125,,
403,1,,Silver,,,0.055,0.128,,0.003
404,1,,Silver,,,0.055,0.124,,0.003
405,1,,Silver,,,0.055,0.127,,0.004
406,1,,Silver,,,0.055,0.122,,0.005
407,1,,Silver,,,0.055,0.136,,0.006
408,1,,Silver,,,0.055,0.139,,0.006
409,1,,Silver,,,0.055,0.138,,0.007
410,1,,Silver,,,0.055,0.145,,0.006
411,0,,,,,0.055,0.136,,
412,0,,,,,0.055,0.13,,
413,0,,,,,0.055,0.125,,
414,0,,,,,0.055,0.125,,
415,0,,,,,0.055,0.125,,
416,0,,,,,0.055,0.125,,
417,0,,,,,0.055,0.109,,
418,0,,,,,0.055,0.13,,
419,0,,,,,0.055,0.125,,
420,0,,,,,0.055,0.122,,
421,0,,,,,0.055,0.122,,
422,0,,,,,0.055,0.124,,
423,0,,,,,0.055,0.125,,
424,0,,,,,0.055,0.124,,
425,0,,,,,0.055,0.123,,
426,0,,,,,0.055,0.124,,
427,0,,,,,0.055,0.121,,
428,0,,,,,0.055,0.123,,
429,0,,,,,0.055,0.119,,
430,0,,,,,0.055,0.126,,
431,1,,Silver,,,0.055,0.126,,0.003
432,0,,,,,0.055,0.125,,
433,0,,,,,0.055,0.122,,
434,0,,,,,0.055,0.123,,
435,0,,,,,0.055,0.119,,
436,0,,,,,0.055,0.123,,
437,0,,,,,0.055,0.12,,
438,0,,,,,0.055,0.12,,
439,0,,,,,0.055,0.124,,
440,0,,,,,0.055,0.123,,
441,0,,,,,0.055,0.121,,
442,0,,,,,0.055,0.117,,
443,0,,,,,0.055,0.124,,
444,0,,,,,0.055,0.127,,
445,0,,,,,0.055,0.121,,
446,0,,,,,0.055,0.124,,
447,0,,,,,0.055,0.121,,
448,0,,,,,0.055,0.122,,
449,0,,,,,0.055,0.121,,
450,0,,,,,0.055,0.121,,
451,0,,,,,0.055,0.118,,
452,0,,,,,0.055,0.12,,
453,0,,,,,0.055,0.124,,
454,0,,,,,0.055,0.116,,
455,0,,,,,0.055,0.115,,
456,0,,,,,0.055,0.124,,
457,0,,,,,0.055,0.12,,
458,0,,,,,0.055,0.12,,
459,0,,,,,0.055,0.122,,
460,0,,,,,0.055,0.124,,
461,0,,,,,0.055,0.12,,
462,0,,,,,0.055,0.123,,
463,0,,,,,0.055,0.121,,
464,0,,,,,0.055,0.129,,
465,0,,,,,0.055,0.122,,
466,0,,,,,0.055,0.125,,
467,0,,,,,0.055,0.12,,
468,0,,,,,0.055,0.122,,
469,0,,,,,0.055,0.123,,
470,0,,,,,0.055,0.121,,
471,0,,,,,0.055,0.122,,
472,0,,,,,0.055,0.117,,
473,0,,,,,0.055,0.12,,
474,0,,,,,0.055,0.124,,
475,0,,,,,0.055,0.125,,
476,0,,,,,0.055,0.125,,
477,0,,,,,0.055,0.12,,
478,0,,,,,0.055,0.124,,
479,0,,,,,0.055,0.118,,
480,0,,,,,0.055,0.12,,
481,0,,,,,0.055,0.122,,
482,0,,,,,0.055,0.121,,
483,0,,,,,0.055,0.121,,
484,0,,,,,0.055,0.122,,
485,0,,,,,0.055,0.117,,
486,0,,,,,0.055,0.122,,
487,0,,,,,0.055,0.12,,
488,0,,,,,0.055,0.118,,
489,0,,,,,0.055,0.119,,
490,0,,,,,0.055,0.125,,
491,0,,,,,0.055,0.117,,
492,0,,,,,0.055,0.122,,
493,0,,,,,0.055,0.121,,
494,0,,,,,0.055,0.12,,
495,0,,,,,0.055,0.118,,
496,1,,Silver,,,0.055,0.129,,0.002
497,1,,Silver,,,0.055,0.12,,0.004
498,1,,Silver,,,0.055,0.123,,0.005
499,1,,Silver,,,0.055,0.125,,0.005
500,1,,Silver,,,0.055,0.125,,0.005
501,1,,Silver,,,0.055,0.123,,0.005
502,1,,Silver,,,0.055,0.121,,0.006
503,1,,Silver,,,0.055,0.123,,0.006
504,2,,Silver,,Silver,0.055,0.127,,0.012
505,1,,Silver,,,0.055,0.131,,0.008
506,2,,Silver,,Silver,0.055,0.134,,0.01
507,1,,Silver,,,0.055,0.127,,0.007
508,1,,Silver,,,0.055,0.123,,0.006
509,1,,Silver,,,0.055,0.131,,0.006
510,1,,Silver,,,0.055,0.135,,0.006
511,1,,Silver,,,0.055,0.148,,0.006
512,1,,Silver,,,0.055,0.146,,0.006
513,1,,Silver,,,0.055,0.13,,0.006
514,1,,Silver,,,0.055,0.124,,0.005
515,1,,Silver,,,0.055,0.135,,0.006
516,1,,Silver,,,0.055,0.123,,0.006
517,1,,Silver,,,0.055,0.126,,0.006
518,1,,Silver,,,0.055,0.121,,0.004
519,1,,Silver,,,0.055,0.126,,0.004
520,1,,Silver,,,0.055,0.125,,0.003
521,1,,Silver,,,0.055,0.13,,0.003
522,1,,Silver,,,0.055,0.124,,0.003
523,0,,,,,0.055,0.125,,
524,0,,,,,0.055,0.122,,
525,0,,,,,0.055,0.125,,
526,0,,,,,0.055,0.119,,
527,0,,,,,0.055,0.123,,
528,0,,,,,0.055,0.129,,
529,0,,,,,0.055,0.117,,
530,0,,,,,0.055,0.121,,
531,0,,,,,0.055,0.12,,
532,0,,,,,0.055,0.122,,
533,0,,,,,0.055,0.128,,
534,0,,,,,0.055,0.121,,
535,0,,,,,0.055,0.121,,
536,0,,,,,0.055,0.119,,
537,0,,,,,0.055,0.122,,
538,0,,,,,0.055,0.124,,
539,0,,,,,0.055,0.118,,
540,0,,,,,0.055,0.124,,
541,0,,,,,0.055,0.123,,
542,0,,,,,0.055,0.124,,
543,0,,,,,0.055,0.12,,
544,0,,,,,0.055,0.131,,
545,0,,,,,0.055,0.138,,
546,0,,,,,0.055,0.121,,
547,0,,,,,0.055,0.116,,
548,0,,,,,0.055,0.123,,
549,0,,,,,0.055,0.12,,
550,0,,,,,0.055,0.117,,
551,0,,,,,0.055,0.144,,
552,0,,,,,0.055,0.15,,
553,0,,,,,0.055,0.144,,
554,0,,,,,0.055,0.157,,
555,0,,,,,0.055,0.158,,
556,0,,,,,0.055,0.144,,
557,0,,,,,0.055,0.151,,
558,0,,,,,0.055,0.145,,
559,0,,,,,0.055,0.121,,
560,0,,,,,0.055,0.131,,
561,0,,,,,0.055,0.126,,
562,0,,,,,0.055,0.126,,
563,0,,,,,0.055,0.123,,
564,0,,,,,0.055,0.125,,
565,0,,,,,0.055,0.121,,
566,0,,,,,0.055,0.119,,
567,0,,,,,0.055,0.125,,
568,0,,,,,0.055,0.126,,
569,0,,,,,0.055,0.121,,
570,0,,,,,0.055,0.12,,
571,0,,,,,0.055,0.118,,
572,0,,,,,0.055,0.118,,
573,0,,,,,0.055,0.122,,
574,0,,,,,0.055,0.12,,
575,1,,Silver,,,0.055,0.126,,0.002
576,1,,Silver,,,0.055,0.127,,0.003
577,1,,Silver,,,0.055,0.122,,0.002
578,1,,Silver,,,0.055,0.12,,0.004
579,0,,,,,0.055,0.124,,
580,0,,,,,0.055,0.116,,
581,1,,Silver,,,0.055,0.128,,0.004
582,1,,Silver,,,0.055,0.12,,0.004
583,1,,Silver,,,0.055,0.121,,0.003
584,0,,,,,0.055,0.123,,
585,1,,Silver,,,0.055,0.121,,0.004
586,1,,Silver,,,0.055,0.126,,0.005
587,1,,Silver,,,0.055,0.123,,0.005
588,1,,Silver,,,0.055,0.125,,0.004
589,1,,Silver,,,0.055,0.118,,0.004
590,1,,Silver,,,0.055,0.122,,0.003
591,1,,Silver,,,0.055,0.121,,0.006
592,1,,Silver,,,0.055,0.122,,0.004
593,1,,Silver,,,0.055,0.12,,0.006
594,1,,Silver,,,0.055,0.119,,0.005
595,1,,Silver,,,0.055,0.126,,0.005
596,1,,Silver,,,0.055,0.122,,0.004
597,1,,Silver,,,0.055,0.117,,0.004
598,1,,Silver,,,0.055,0.117,,0.004
599,1,,Silver,,,0.055,0.131,,0.003
600,1,,Silver,,,0.055,0.123,,0.003
601,1,,Silver,,,0.055,0.125,,0.002
602,0,,,,,0.055,0.12,,
603,0,,,,,0.055,0.122,,
604,0,,,,,0.055,0.12,,
605,0,,,,,0.055,0.124,,
606,0,,,,,0.055,0.121,,
607,0,,,,,0.055,0.121,,
608,0,,,,,0.055,0.121,,
609,0,,,,,0.055,0.121,,
610,0,,,,,0.055,0.121,,
611,0,,,,,0.055,0.12,,
612,0,,,,,0.055,0.126,,
613,0,,,,,0.055,0.118,,
