Frame No,Count,Type1,Color1,Type2,Color2,Question1 Time,Question2 Time,Question3 Time,Question4 Time
526,0,,,,,0,0.119,,
527,0,,,,,0,0.123,,
528,0,,,,,0,0.129,,
529,0,,,,,0,0.117,,
530,0,,,,,0,0.121,,
531,0,,,,,0,0.12,,
532,0,,,,,0,0.122,,
533,0,,,,,0,0.128,,
534,0,,,,,0,0.121,,
535,0,,,,,0,0.121,,
536,0,,,,,0,0.119,,
537,0,,,,,0,0.122,,
538,0,,,,,0,0.124,,
539,0,,,,,0,0.118,,
540,0,,,,,0,0.124,,
541,0,,,,,0,0.123,,
542,0,,,,,0,0.124,,
543,0,,,,,0,0.12,,
544,0,,,,,0,0.131,,
545,0,,,,,0,0.138,,
546,0,,,,,0,0.121,,
547,0,,,,,0,0.116,,
548,0,,,,,0,0.123,,
549,0,,,,,0,0.12,,
550,0,,,,,0,0.117,,
551,0,,,,,0,0.144,,
552,0,,,,,0,0.15,,
553,0,,,,,0,0.144,,
554,0,,,,,0,0.157,,
555,0,,,,,0,0.158,,
556,0,,,,,0,0.144,,
557,0,,,,,0,0.151,,
558,0,,,,,0,0.145,,
559,0,,,,,0,0.121,,
560,0,,,,,0,0.131,,
561,0,,,,,0,0.126,,
562,0,,,,,0,0.126,,
563,0,,,,,0,0.123,,
564,0,,,,,0,0.125,,
565,0,,,,,0,0.121,,
566,0,,,,,0,0.119,,
567,0,,,,,0,0.125,,
568,0,,,,,0,0.126,,
569,0,,,,,0,0.121,,
570,0,,,,,0,0.12,,
571,0,,,,,0,0.118,,
572,0,,,,,0,0.118,,
573,0,,,,,0,0.122,,
574,0,,,,,0,0.12,,
575,1,hatchback,Silver,,,0,0.126,0.094,0.016
576,1,hatchback,Silver,,,0,0.127,0.078,0.0
577,1,hatchback,Silver,,,0,0.122,0.109,0.016
578,1,hatchback,Silver,,,0,0.12,0.078,0.0
579,0,,,,,0,0.124,,
580,0,,,,,0,0.116,,
581,1,hatchback,Silver,,,0,0.128,0.094,0.016
582,1,hatchback,Silver,,,0,0.12,0.094,0.0
583,1,hatchback,Silver,,,0,0.121,0.109,0.016
584,0,,,,,0,0.123,,
585,1,hatchback,Silver,,,0,0.121,0.094,0.016
586,1,hatchback,Silver,,,0,0.126,0.109,0.016
587,1,hatchback,Silver,,,0,0.123,0.094,0.016
588,1,hatchback,Silver,,,0,0.125,0.109,0.0
589,1,hatchback,Silver,,,0,0.118,0.109,0.031
590,1,hatchback,Silver,,,0,0.122,0.109,0.0
591,1,hatchback,Silver,,,0,0.121,0.094,0.016
592,1,hatchback,Silver,,,0,0.122,0.109,0.016
593,1,hatchback,Silver,,,0,0.12,0.078,0.016
594,1,hatchback,Silver,,,0,0.119,0.094,0.016
595,1,hatchback,Silver,,,0,0.126,0.109,0.016
596,1,hatchback,Silver,,,0,0.122,0.109,0.016
597,1,hatchback,Silver,,,0,0.117,0.094,0.0
